node_id,node_idx,key_gene,source
TGM6,0,True,
TGM2,1,True,
HLA-DQA1,2,True,
HLA-DQB1,3,True,
IL15,4,True,
IFNG,5,True,
TPH1,6,True,
TPH2,7,True,
IDO1,8,True,
SLC6A4,9,True,
HTR1A,10,True,
HTR2A,11,True,
FFAR2,12,True,
FFAR3,13,True,
TLR4,14,True,
IL6,15,True,
TNF,16,True,
NFKB1,17,True,
GABRA1,18,,
AHR,19,,
TBCE,20,,monarch_expansion
TTR,21,,monarch_expansion
FBXO28,22,,monarch_expansion
PRODH,23,,monarch_expansion
SUFU,24,,monarch_expansion
WDR81,25,,monarch_expansion
FXN,26,,monarch_expansion
HSD17B4,27,,monarch_expansion
MT-CYB,28,,monarch_expansion
NPTX1,29,,monarch_expansion
ZBTB11,30,,monarch_expansion
MYORG,31,,monarch_expansion
POLG,32,,monarch_expansion
TERT,33,,monarch_expansion
FGF14,34,,monarch_expansion
KCND3,35,,monarch_expansion
MT-TP,36,,monarch_expansion
PNPLA6,37,,monarch_expansion
NKX2-1,38,,monarch_expansion
SYT1,39,,monarch_expansion
COQ4,40,,monarch_expansion
NGLY1,41,,monarch_expansion
TMEM70,42,,monarch_expansion
MPV17,43,,monarch_expansion
COQ7,44,,monarch_expansion
GCLC,45,,monarch_expansion
MT-ATP6,46,,monarch_expansion
MT-ND4,47,,monarch_expansion
LITAF,48,,monarch_expansion
UQCRC1,49,,monarch_expansion
ATXN10,50,,monarch_expansion
GRM1,51,,monarch_expansion
DMXL2,52,,monarch_expansion
PDYN,53,,monarch_expansion
EDNRB,54,,monarch_expansion
B2M,55,,monarch_expansion
CD59,56,,monarch_expansion
OPA1,57,,monarch_expansion
PRPS1,58,,monarch_expansion
PDGFB,59,,monarch_expansion
FMR1,60,,monarch_expansion
PDGFRB,61,,monarch_expansion
DNMT1,62,,monarch_expansion
SCO2,63,,monarch_expansion
EIF2B1,64,,monarch_expansion
SPAST,65,,monarch_expansion
TREM2,66,,monarch_expansion
TYROBP,67,,monarch_expansion
PRNP,68,,monarch_expansion
NOTCH3,69,,monarch_expansion
CHMP2B,70,,monarch_expansion
TTPA,71,,monarch_expansion
MAPT,72,,monarch_expansion
JAM2,73,,monarch_expansion
APOE,74,,monarch_expansion
EIF2B2,75,,monarch_expansion
VAMP1,76,,monarch_expansion
SETD1A,77,,monarch_expansion
DEAF1,78,,monarch_expansion
PRKACA,79,,monarch_expansion
MED12L,80,,monarch_expansion
PITRM1,81,,monarch_expansion
MAB21L1,82,,monarch_expansion
MEF2C,83,,monarch_expansion
CHMP1A,84,,monarch_expansion
SLF2,85,,monarch_expansion
PCDH19,86,,monarch_expansion
NSD1,87,,monarch_expansion
TMEM231,88,,monarch_expansion
SNORD116-1,89,,monarch_expansion
RALA,90,,monarch_expansion
KICS2,91,,monarch_expansion
SNORD115-1,92,,monarch_expansion
HCN1,93,,monarch_expansion
TCF4,94,,monarch_expansion
ALDH5A1,95,,monarch_expansion
ADAMTS3,96,,monarch_expansion
MT-TH,97,,monarch_expansion
MT-ND5,98,,monarch_expansion
TWNK,99,,monarch_expansion
FRMD5,100,,monarch_expansion
PLAAT3,101,,monarch_expansion
STIM1,102,,monarch_expansion
CACNA1A,103,,monarch_expansion
ACVRL1,104,,monarch_expansion
SMAD3,105,,monarch_expansion
COPB1,106,,monarch_expansion
MT-TL1,107,,monarch_expansion
JAG1,108,,monarch_expansion
MT-TC,109,,monarch_expansion
MT-TF,110,,monarch_expansion
CSNK1D,111,,monarch_expansion
SLC2A1,112,,monarch_expansion
